LibraryName	SampleID	GeneticBackground	Embryo	EmbryonicDay	Sex	Lineage	GeneticBackground_OLD
EB_1006	1006	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1007	1007	C57 (F) x CAST (M)	15	5.5	M	EPI	CAST (F) x C57 (M)
EB_1009	1009	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1010	1010	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1011	1011	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1012	1012	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1014	1014	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1015	1015	C57 (F) x CAST (M)	15	5.5	M	ExE	CAST (F) x C57 (M)
EB_1018	1018	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1019	1019	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1020	1020	C57 (F) x CAST (M)	15	5.5	M	EPI	CAST (F) x C57 (M)
EB_1022	1022	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1023	1023	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1025	1025	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1026	1026	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1027	1027	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1029	1029	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1030	1030	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1031	1031	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1035	1035	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1036	1036	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1037	1037	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1038	1038	C57 (F) x CAST (M)	15	5.5	M	EPI	CAST (F) x C57 (M)
EB_1040	1040	C57 (F) x CAST (M)	15	5.5	M	ExE	CAST (F) x C57 (M)
EB_1045	1045	C57 (F) x CAST (M)	15	5.5	M	ExE	CAST (F) x C57 (M)
EB_1046	1046	C57 (F) x CAST (M)	15	5.5	M	EPI	CAST (F) x C57 (M)
EB_1050	1050	C57 (F) x CAST (M)	15	5.5	M	EPI	CAST (F) x C57 (M)
EB_1051	1051	C57 (F) x CAST (M)	15	5.5	M	ExE	CAST (F) x C57 (M)
EB_1053	1053	C57 (F) x CAST (M)	15	5.5	M	EPI	CAST (F) x C57 (M)
EB_1054	1054	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1055	1055	C57 (F) x CAST (M)	15	5.5	M	EPI	CAST (F) x C57 (M)
EB_1056	1056	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1057	1057	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1059	1059	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1061	1061	C57 (F) x CAST (M)	15	5.5	M	VE	CAST (F) x C57 (M)
EB_1063	1063	C57 (F) x CAST (M)	15	5.5	M	EPI	CAST (F) x C57 (M)
EB_1527	1527	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1528	1528	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1529	1529	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1534	1534	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1535	1535	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1536	1536	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1538	1538	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1539	1539	C57 (F) x CAST (M)	23	6	F	ExE	CAST (F) x C57 (M)
EB_1540	1540	C57 (F) x CAST (M)	23	6	F	ExE	CAST (F) x C57 (M)
EB_1541	1541	C57 (F) x CAST (M)	23	6	F	ExE	CAST (F) x C57 (M)
EB_1543	1543	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1544	1544	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1545	1545	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1546	1546	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1547	1547	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1548	1548	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1549	1549	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1550	1550	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1551	1551	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1554	1554	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1555	1555	C57 (F) x CAST (M)	23	6	F	ExE	CAST (F) x C57 (M)
EB_1556	1556	C57 (F) x CAST (M)	23	6	F	ExE	CAST (F) x C57 (M)
EB_1557	1557	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1558	1558	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1559	1559	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1562	1562	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1563	1563	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1565	1565	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1566	1566	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1567	1567	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1568	1568	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
EB_1569	1569	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1570	1570	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1571	1571	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1572	1572	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1573	1573	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1574	1574	C57 (F) x CAST (M)	23	6	F	EPI	CAST (F) x C57 (M)
EB_1575	1575	C57 (F) x CAST (M)	23	6	F	VE	CAST (F) x C57 (M)
