gene	F_2i_XaXa_C57	F_2i_XaXa_CAST	F_Diff_XaXa_C57	F_Diff_XaXa_CAST	F_Diff_XaXi_C57	F_Diff_XaXi_CAST	F_Diff_XiXa_C57	F_Diff_XiXa_CAST	M_2i_XaXi_C57	M_2i_XaXi_CAST
ENSMUSG00000000001	0.497233879839109	0.443095651581998	0.271228046407389	0.247235721458951	0.278973011817959	0.48702087750176	0.396934313541547	0.3502073386862	0.450112695201743	0.675208312946083
ENSMUSG00000000028	0.202706905195837	0.188305238194425	0.0416168330913439	0.0424721736396873	0.0386021014884285	0.0178057195974984	0.059210883197279	0.0550014349889364	0.297077927493238	0.340494728385261
ENSMUSG00000000037	0.0599398634569121	0.0398882117738589	0.208509010005061					0.122775035973002	0.402979978080843	
ENSMUSG00000000056	0.235410289005619	0.144979598834895	0.109389978165569	0.146500943161606	0.185827508975535	0.103273401713499	0.118237112767594	0.112976388261937	0.276479999390931	0.132362237942695
ENSMUSG00000000058							0.160797118262769	0.088899372334154		
ENSMUSG00000000078	0.0296443908154752	0.0205392884964213	0.0372349987924755	0.0687852090967607	0.112399960556321	0.0665149052099465	0.0744722541901342	0.0727003956195911	0.0770796873993807	0.0263401823720458
ENSMUSG00000000085	0.114754962247887	0.266946549344697	0.0908422150712778	0.15150089123421	0.0518250755830718	0.0236767269966047	0.0500765762624492	0.0373162369782811	0.12277222615861	0.0629423122283054
ENSMUSG00000000088	7.1880380051346	3.61655281665346	0.781553642314535	1.17863725092702	1.12545625835068	0.726744783107152	0.952250026961097	0.765973709187959	4.21970937811206	
ENSMUSG00000000094			0.12738355142785	0.0289222782612934		0.143149751145929	0.223031914063081	0.0878971412629551		
ENSMUSG00000000120	0.354605833694805	0.288819337344727	0.190200590565989	0.109564896116792	0.0808842270787485	0.0356374180609246	0.118924904815577	0.0823266002620032	0.398893754537569	0.648006126347766
ENSMUSG00000000126					0.0482066914600827		0.132288397253361	0.112491357692492		
ENSMUSG00000000127	0.272447666755559	0.0477358111000608		0.0191610192901114	0.0256713575529941	0.0514267720075579	0.0524877928015688	0.0289126009327279	0.236837468966016	0.205108418518105
ENSMUSG00000000131	0.560385222880474	0.278804786911466	0.449574920928538	0.450724814915769	0.220442084801447	0.326266098309544	0.561907804515104	0.251322928220249	0.721462170775634	0.462135123944463
ENSMUSG00000000134	1.01595715355202	0.62197990962952	1.95958158426042	1.27861443203486	2.54269640680919		0.00820612987577294	0.873758834673606	1.40784864347034	
ENSMUSG00000000142	0.797285889622353	10.0000454747351	0.0177764453643425	0.231773108884997	0.129773342053843	0.374691812404738	0.146069429078215	0.480731102673201	0.680566049701885	3.19853635439395
ENSMUSG00000000148	0.261885702961356	0.166975580778759		0.0871969691446309		0.0516418414633514	0.0524106939918627	0.107666326339535	0.0984773734160473	0.284457864613113
ENSMUSG00000000149	0.0278048999333881	0.0138251145453869		0.00929962912146549	0.0162685382064446	0.0101139926346435	0.014234054770289	0.00798112838419006	0.0372106188577918	0.0447450071498928
ENSMUSG00000000154	0.0255618781493748	0.0191166484720019			0.0417518339390722		0.00553840507616583	0.0124999222880839	0.307952852816971	0.00528138708615417
ENSMUSG00000000167	0.172822828423639	0.06423577731041					0.0397434557094032	0.0451072169808677	0.141327427588593	0.0789273291700872
ENSMUSG00000000168	0.69596743267724	1.20382553903371	0.502005402352392	0.345351658836189	0.265823089525282	0.429005384250654	0.430389088464306	0.328081737693706	0.713710301675033	0.895231322254143
ENSMUSG00000000171	3.45568999534484	4.96734190081125		0.89980746552921	0.760034302799259	1.06785452685481	0.801877312676744	0.729895263577162	2.99517223163826	2.76475244995009
ENSMUSG00000000184	0.0124214476156509		0.120096256134517	0.0421301530078223	0.146872380796585	0.11616216570852	0.107014460073751	0.0826192072434026	0.203149915211808	0.131888603423069
ENSMUSG00000000194	2.15822118184269	1.010872146153	0.300270521781707	0.894556632979379	0.909674171815107	0.81952048854259	0.68562841356195	0.632728409501241	1.92201879233266	0.551459023329402
ENSMUSG00000000214			0.0129652605654253	0.0237083837371704			0.0155117287125253		0.0575767622285715	0.0470350940298578
ENSMUSG00000000223	0.0584181665641477	0.0553441028513135							0.277651129729545	
ENSMUSG00000000244	0.61455455989447	0.036473334573174	0.375910826610183	0.0445727775837249	0.210140159982278	0.242245191449254	0.296746806994061	0.0230379891854569	1.79807848725631	0.0599337554375372
ENSMUSG00000000247										0.0206264854294949
ENSMUSG00000000253	0.0198125928535524	0.274779444131963	0.0457473016993587	0.185481000869782	0.0252915212515846		0.145812580840561	0.0954739277424497	0.0836951997276437	0.389009539464491
ENSMUSG00000000266					1.00286865004366			0.41660433539799		
ENSMUSG00000000275	1.08522137226256	1.22502184840479	0.471672218475969	0.50496569085188	0.363310797724617	0.203233098845637	0.320919119983973	0.471767638081813	1.32458226839097	1.02003170248911
ENSMUSG00000000282	0.101174443554725	0.185394830933608	0.133506755020769	0.164240100124791	0.119776884529715	0.124655099596197	0.120174506640918	0.179242126423653	0.218076226196527	0.250028331567481
ENSMUSG00000000290	0.0701429497319702	0.495421633171805					0.0646869779222846	0.0410112348542242		
ENSMUSG00000000295	0.718464226546201	0.397142769821864	0.785204142654723	0.562422519039886	0.517315999124112	0.754181691786878	0.935497198444381	0.617387793135609	0.858084844399127	0.624117484510834
ENSMUSG00000000296	0.397269994892185	0.283619197854927	0.242418089165956	0.280747754192353	0.117742481603379	0.521103106235685	0.178319127350044	0.352652527920811	0.544325635211337	0.285291756366374
ENSMUSG00000000301	0.177581519765611	0.070458289036007	0.096403890090995	0.0785041656204492	0.124905326419329	0.176145906660427	0.102585660191287	0.115075227575131	0.389118100913607	0.0936876436052612
ENSMUSG00000000303	0.889403028368483	0.964874460861727	0.448789656043472	0.512080698192539	0.944101311020177	1.13408200803111	0.507237818135998	0.778305492554623	1.46592127799965	1.75000100041902
ENSMUSG00000000305	0.223080235003915	0.312489579338875	0.0899451097714204	0.249757271741317	0.0658275244659419	0.252428170179099	0.0957291812505471	0.199325776781113	0.0468562013736449	0.43391715180434
ENSMUSG00000000308	0.176452957908676	0.168751135287688	0.0257216002705434	0.00705942561954452	0.0367498246765856	0.061231546755109	0.0781759035498674	0.0794760940469002	0.286748396052259	0.385211019275706
ENSMUSG00000000317		0.294634909418785				0.0628282947262449	0.0129427515101663	0.0966766949014634	0.0218956077713794	0.239560446822255
ENSMUSG00000000320	0.233939900561438	0.022318801152535			0.446998086706316	0.129945503965246	0.0544842727015163	0.03621228001251	0.251271949910964	0.226893743255467
ENSMUSG00000000325	0.0694363362868354	0.0762441869301616	0.037694611897958	0.0419198986783713	0.0746229183480716	0.0511721814125582	0.0537081542893438	0.0298184186596954	0.183932533647214	0.166590310041741
ENSMUSG00000000326	0.389986909067891	0.822602327781356	0.118870141623736	0.129571255154231	0.144489830607265	0.229028574020923	0.156161634714114	0.239276487785975	0.446061917429207	0.732120139788798
ENSMUSG00000000339	0.408161592846352	0.182766268347285	0.0906650893363835	0.0472913166511237	0.0858386677597598	0.0532066216020361	0.126043874521377	0.0682489385874151	0.603118996921001	0.22850412149338
ENSMUSG00000000340	0.336715953384504	0.558352920742972	0.485495170226864	0.400626723792394	0.264159734007012	0.445416379559633	0.231122866593451	0.22864769785554	0.430620388880194	0.573237656695399
ENSMUSG00000000346	0.241216368380358	0.23658626569328	0.109794096505904	0.108132782697393	0.114678315018985	0.0871596726245899	0.102550635110349	0.0855778103417349	0.285260011924175	0.444028329712568
ENSMUSG00000000365	0.836285529718353	0.0441469651414154	0.626575628476745	0.0272232353539878	0.425482356941363	0.0234603350416948	0.304143615464905	0.0516243468037248	1.06516084337343	0.0658057797441497
ENSMUSG00000000374	0.450704182778021	0.0846390384543647	0.148929629359879	0.313579609633258	0.0905406439991962	0.0692757034486379	0.250081798387592	0.0328494685658533	0.44421360599474	0.766897257630779
ENSMUSG00000000378	0.278304733997153	0.377080417372015	0.278690785722041	0.330469590061968	0.354428473455658	0.593865076735917	0.418991299393095	0.478277824197811	0.710630085570935	0.436120036476736
ENSMUSG00000000384	0.861754893995865	0.863527955379585	0.969977115871965	0.725487888235217	0.940991407306876	0.461687750148269	0.597907860303901	0.926540042179135	1.28916157179735	1.19891773147371
ENSMUSG00000000385					0.00969868196013291		0.114058965088919	0.0763044531833673		
ENSMUSG00000000402	1.11793356611183	0.0595794853296254	0.381650668036761	0.0388480507311446	0.36652898426044			0.174592065723943	0.94616835635689	
ENSMUSG00000000409	0.232933482550161	0.192817739885041	0.0750184895836688	0.0936838876620827	0.173931883400958	0.201958614705201	0.216141657086559	0.171579819022138	0.367880919981058	0.162019668510256
ENSMUSG00000000416	0.80247717891425		0.021370130836288		0.0777942366600284			0.180823533180341	0.447056871227958	0.097652873360044
ENSMUSG00000000420	0.511746228626677	0.342337334496387	0.0438129980717559	0.109023318476595	0.103161789965242	0.119349307957675	0.127491962507487	0.207732284023438	0.187849486028103	0.488377151269664
ENSMUSG00000000439	0.329638733016311	0.532115741401538	0.034855460468433	0.0590370223929601	0.144045118017414	0.26271921199785	0.0883465700412293	0.297864138069062	0.293132864813557	0.533581692574948
ENSMUSG00000000441	0.122064887316044	0.12256300136907	0.0787240762336322	0.0967218860585724		0.00971116354438492	0.0258480020651705	0.0219802079903121	0.18972736883847	0.175570192700012
ENSMUSG00000000486	1.18414262911714	0.606552840953227	0.572702866701932	0.264788479594773	0.198223932506812	0.0810388952395156	0.285494760884214	0.0926515757669632	1.56803789279302	0.239154502480743
ENSMUSG00000000489					0.00910832487894322	0.108752461189168	0.092127207700951	0.137845706985257		0.237736297181818
ENSMUSG00000000530	0.168873216237781									
ENSMUSG00000000532	0.014096728095071	0.0170701965921409		0.0197926816821134		0.0337110189517613		0.00233291683194815	0.0257518114429734	0.0363308884011172
ENSMUSG00000000538	0.145298759989584	0.226178971217918		0.0248196361475505	0.120269852895299	0.143812808627438	0.0725243668300988	0.0537108829246139	0.194191003797607	0.764828627840296
ENSMUSG00000000544	0.347239571049511	0.312751890213676	0.30167644177979	0.155687314990385	0.110744876693541	0.0630671387130982	0.371542605410985	0.00501206928340574	0.649922856888668	0.0689216135906609
ENSMUSG00000000552	0.145237061820187	0.164709487590198	0.0496055743468018	0.0385965231190374	0.136261802984118	0.0338794984688084	0.141802313401479	0.113062431352557	0.212820019090177	0.22180171917481
ENSMUSG00000000555	0.0026239539527479		0.0372597440565462		0.0920672344568596	0.0442170881514999	0.0864680651320331	0.117156342700054		0.0839612062775496
ENSMUSG00000000560			0.127699664103615		0.0498991505798599					
ENSMUSG00000000561	1.41013865685976	1.57170463631286	0.419122185621927	0.828510525055219	0.490388880302339	0.241253649849717	0.507271646451719	0.459265891696636	1.4689907829192	1.9720051278499
ENSMUSG00000000563	5.92488995257462	3.30048119102572	1.56438868628736	1.34558220682777		1.7898097593579	1.43088104219722	1.89518052104185	4.88066880719186	
ENSMUSG00000000567	0.453813737659516	0.264076218277284	0.622658389292248	0.00293812692119518	0.126357878202277	0.244734068305441	0.225883041533211	0.220889732919826	0.393855851893944	0.158396581091312
ENSMUSG00000000568	2.07034642411709	2.36660705863506	0.591780583880826	1.02559225368282	0.675402926759252	0.406014446625814	0.609215245345636	0.725113663443474	1.61812725353464	2.33589898102102
ENSMUSG00000000579	0.110825029405672	0.00405617967275521							0.0923395753597148	0.00648233334907386
ENSMUSG00000000581	0.0865451502395673	0.0806837190551513	0.0824425334573037	0.0831259206247594	0.0170980064789673	0.0826871466002267	0.0508975277703847	0.0497619441070537	0.123834681753847	0.113720150853225
ENSMUSG00000000594	1.11574403796585	2.79174378716783	0.99566428903002	1.83141689503273	0.219408924667351	0.553823799362251	0.35095010822002	0.487135127049011	1.5648308073292	2.35858188377557
ENSMUSG00000000600	0.579560856109281	0.636175830895473	0.902060678356734	0.62294815712954	0.309154590060345	0.866274794297509	0.843145021764169	0.846030676761781	0.435701466583892	0.657026428500711
ENSMUSG00000000605	0.0384925285224107	0.0808827149633413	0.0580693831859142	0.0475565112079399	0.051269691084642	0.0495643802720533	0.0503416539794404	0.05161527997094	0.0869194202544454	0.0812504903189441
ENSMUSG00000000627	0.086945918097666	0.0175133817008304							0.0242963266120469	0.01062155336601
ENSMUSG00000000628	1.7622662612945	1.06419009910149	0.778799099465553	0.62929193005487	1.18379129250521	1.10360963911447	1.56455953235409	0.729359444515938	2.02148107879903	1.78095600513455
ENSMUSG00000000631	0.485911654548895	0.228543806483334	0.295202582415973	0.214765094746442	0.616235606962598	0.0266782964186539	0.106528036985739	0.283105135146041	0.593632769571889	0.279507860271343
ENSMUSG00000000632								0.0396023354009348		
ENSMUSG00000000682		0.0952159609314834								0.0578180899975003
ENSMUSG00000000686					0.521346653172648			0.108173948802125		0.301400190717952
ENSMUSG00000000693	0.108436784650859	0.217975782044802			0.247748747786935	0.339405999480751	0.0910166856935404	0.184715770093872	0.385274091436866	0.0742182679196849
ENSMUSG00000000708	0.193219750913013	0.171871549685417	0.121357424070239	0.0323798651289903	0.0486761651639834	0.028785037733963	0.0596048675440493	0.0627821541327844	0.22860232693572	0.224535968391504
ENSMUSG00000000711	0.139795368975451	0.103022039811642	0.0748756558786224	0.0746216445023835	0.0576784062107183	0.0176487766018251	0.0722069662672642	0.063437862884472	0.227920167956307	0.181824342968183
ENSMUSG00000000730	0.208245523209494	0.132693572622853	1.02551226418512	1.05106675397562	0.334359713286252	0.293546381985123	0.578694653247961	0.484962504483376	0.294957732810478	0.127405125613804
ENSMUSG00000000731			0.712803587353841	0.340215540213123	0.613988021365804	0.135806368861039	0.346409877255101	0.181725963741612	0.376692156196384	
ENSMUSG00000000732	0.178837175667673	0.106068606012268	0.487002158252516	0.294060398495205	0.25408669136354	0.172600567274758	0.403990876503662	0.222123798623678	0.687383281507722	0.0338247586316228
ENSMUSG00000000738	0.0742309334869849	0.127521561533663	0.0404240060488754	0.0586920138746158	0.10049648417427	0.123577083023283	0.122840807808856	0.0804519032163473	0.210739381194521	0.222062561638898
ENSMUSG00000000739	0.0188823856661403	0.778160511848976	0.398810131655524			0.621419656999171	0.0388140373523012	0.226747874838048	0.0514951904981253	0.57396868728433
ENSMUSG00000000740	8.92199639725094	14.6330898219238	0.13405576636256	1.67748097312255	0.121672136917996	2.3606962592592	0.189740922518292	7.65593889847525		
ENSMUSG00000000743	0.677308585144225	0.394162687523623	0.553284648929718	0.48185071884575	0.335524621632763	0.401006093293144	0.480140579320849	0.314563707515257	1.2429730254871	0.605528384215678
ENSMUSG00000000751	1.82442326602983	2.28063590166203	1.70878208077759	0.961823067462849	0.660512555520267	0.435638995111672	0.764897185971915	0.952749929149976	1.50137180580929	4.37234105643649
ENSMUSG00000000753	0.182936418437061	0.128357818334367	0.346134315957304	0.111589013399366	0.0242413411723349	0.19285206978941	0.312474555214596	0.211319188140769	0.0165638764762325	0.356160902018017
ENSMUSG00000000759	0.349304298758385	0.45603976435524	0.146714046013626	0.401354710077123	0.469939380609422	0.0248940286545498	0.120826382146884	0.348135289107207	0.640925875063628	0.520193511192869
ENSMUSG00000000776	0.497372842081685	0.116157333134631	0.405938365460013	0.179489848380272	0.289978433266091	0.349837290903807	0.425107642775349	0.334538391605877	0.425429192478327	0.130965067232787
ENSMUSG00000000782	0.0721420622352173	0.0530116378008559	0.0221448253191569	0.0188408620026846	0.0251857424532279	0.0203820079852667	0.0370792456487649	0.0405248576027339	0.192185639428791	0.141752992454783
ENSMUSG00000000787	0.163600489231438	0.181161763610243	0.191665870830987	0.189194783406703	0.395606781501241			0.337409719729484	0.30084033455646	
ENSMUSG00000000791	0.0981848364814212						0.215095884447634	0.0273722185818791		
ENSMUSG00000000792			0.0308626999919341	0.499114304317069	0.133480258864192	0.46063180160522	0.246374260869825	0.232144487923209		0.189302673256942
ENSMUSG00000000794										0.435993471531729
ENSMUSG00000000804	0.0642807195069148	0.187277084193127	0.0356504639403367		0.0487946078270975	0.0226368623296912	0.0267470320608588	0.0618234580180584	0.236801715377628	0.107031487534797
ENSMUSG00000000811	0.122644420198293	0.141858942835079	0.0733002762218458	0.0639590784709661	0.0114387823794021	0.0380526471720389	0.0899630957156405	0.117604731209797	0.170338618305036	0.117365374195247
ENSMUSG00000000823	0.144202128259173	0.16561917382403	0.129679219258076	0.32188460177325	0.199375873233574	0.123781623176399	0.132508273538096	0.196692236151984	0.182632147827233	0.180711992937054
ENSMUSG00000000826	0.569811276657804	0.680777207650101	0.948346697380791	0.37859892773678	0.755391852317038	0.77857448448256	0.815853126138734	0.607675539350252	0.629712586535589	0.548945305259423
ENSMUSG00000000827	2.02714879233283	1.28556548324968	0.749885211583757	0.960599017053088	1.3996288989098	1.11010888121308	1.75371024089161	1.4141863076649	2.14438107672555	1.41943074370119
ENSMUSG00000000838	0.144305535255095	0.136360857755961	0.0710070228203412	0.0414975124821672	0.017648533917673			0.0636453037207266	0.175560567576316	
ENSMUSG00000000861			0.0422410537048197	0.0277016915438573	0.00548015452319344		0.0519370207005814	0.0284836369848217		
ENSMUSG00000000869	3.06945382174873									0.0986417656134824
ENSMUSG00000000876	0.0369906981942965	0.0378101663312695	0.013995857134523	0.031663705072441	0.0212547106776189	0.00543690505599331	0.0270059985196378	0.0221607387153633	0.116291909530563	0.107859178908004
ENSMUSG00000000881	0.0592092909216227			0.0182342738865904				0.0212334994404112	0.00346578189895414	
ENSMUSG00000000884	0.228489020047879	0.373486880847727	0.0492870296350059	0.179661090353139	0.0694024755818912	0.281751491232402	0.172836843131517	0.312614655712567	0.30868115964854	0.430045803638722
ENSMUSG00000000901	0.118574156528315	0.1694019150327	0.0540530989562183	0.0497268615198125	0.0674524709197352	0.0861571017368222	0.0963920575442281	0.107133690013147	0.296915346232108	0.212691179609573
ENSMUSG00000000902	0.970624499983475	1.38388875117386	2.12973776059855	0.66238651235738	1.38026324281657	1.05128772521713	0.914417473940292	1.31942894764603	1.274943482894	1.1713573210119
ENSMUSG00000000903		0.0543520060266763	0.0467212145529293				0.0733532571137115	0.0881397881953654	0.0749960079368522	0.0718702262146557
ENSMUSG00000000915	0.29042281302926	0.223661002442525	0.080618437276897		0.487644002288836	0.535412380063618	0.227836408073546	0.480537938746494	0.120352846984201	0.277848019341311
ENSMUSG00000000916	0.744872378597755	0.732788396411163	0.630822032117006	0.241347801396345	0.195145343841113	0.258209759434355	0.290479408896452	0.359272734432594	0.572811202282894	0.502635802774246
ENSMUSG00000000934	0.0509590478910134	0.188133303501035	0.00935494608299941		0.0489961642858797	0.0963195310161285	0.0247780191428078	0.10502853126056	0.02153310777485	0.261276474506529
ENSMUSG00000000938	0.00726966590650618	0.0151811238068619								
ENSMUSG00000000948	0.00984203030624379	0.0285779624561448	0.0549500015213532	0.0498766212194318	0.0519956588458241	0.123112855892993	0.00922239493459766	0.117622625407214	0.00925145294263386	0.0780203404265471
ENSMUSG00000000957	0.275476327297034	0.0840904397699844	0.0842453146320818	0.128988279047442	0.118082879594266	0.238943590148568	0.300748298593633	0.227557453752513	0.183801816229819	0.465422628615269
ENSMUSG00000000958	0.318935549464178	0.225368267126917	0.517821869905936	0.720296644735847	0.678492477996893	0.561810644908047	0.645675168076582	0.686240173798784	0.378416068024614	0.243839877495901
ENSMUSG00000000959	1.51538640383317	1.30130430332545	0.859060310430758	0.708641671644177	0.49013216142149	0.437809167843127	0.695247565314469	0.756509171880719	1.72949940121242	1.57810693178409
ENSMUSG00000000976	0.667052496944568	0.358244032717486	0.303457529241803	0.164271808636643	0.359506050014465	0.490476834357282	0.37057151957838	0.312097471406291	0.589512275924426	0.466955115565584
ENSMUSG00000001016	2.01906302310789	1.44104622304562	0.605661750655188	0.879780478719358	0.499612989615468	0.582571318761188	0.825551472881999	0.890959891513141	2.14873395134489	2.38636463446448
ENSMUSG00000001017	0.588493328521162	0.92092382630151	0.30186176731085	0.382429055113573	0.243959798412756	0.285689610897901	0.304802017745916	0.319464618414876	1.04382320844764	0.81563183779415
ENSMUSG00000001018	0.385289700796412	0.431444702827003	0.299802171701091	0.228807801085464	0.118298525202411	0.221573427417349	0.159584946223505	0.201977959255576	0.521083999264753	0.710368712902712
ENSMUSG00000001025	0.116969033311166	0.0275080998854062	0.147826634676107	0.157408349637341	0.164513070132917	0.111420803542399	0.262348810560717	0.194368493932329	0.152605372550425	0.137839129573535
ENSMUSG00000001029						0.0662721747899777	0.0537704389746987	0.0230146042640013	0.194393714611512	0.0283117233245566
ENSMUSG00000001034	0.186588818473033	0.370405172574304	0.265885158840873	0.212095159105709	0.296350936943683	0.176698224853163	0.233501189069408	0.182822417804968	0.338761423520719	0.642245574174688
ENSMUSG00000001036	0.21763966597447	0.300695449316362	0.112534322612851	0.237255872254174	0.17636229185445	0.142237520329249	0.142872616809298	0.150798653274219	0.209056961203415	0.343810302572446
ENSMUSG00000001039	0.142037354119064	0.436895574478244	0.138556573180964	0.326258513289039	0.13207430478799	0.318147595967074	0.222922607780685	0.369540207196518	0.196917649488226	0.380909384531323
ENSMUSG00000001052	0.309380191739469	0.329286143191153	0.144747657892222	0.129315325022974	0.0654427042684156	0.0698443522348375	0.161347677286787	0.160175710658706	0.40543693772244	0.218980696309203
ENSMUSG00000001053	0.1905054922571	0.347534668937194	0.0649437512090861	0.115020543895015	0.0877775985896415	0.054077415506602	0.0890002946209233	0.0862953464255983	0.53533591184519	0.423432511979962
ENSMUSG00000001054	0.35432238448424	0.368133148442249	0.0464861368078332	0.0832778220371016	0.0712257765060171	0.0848477824093192	0.081216673306418	0.0700257904254423	0.620259130186224	0.514782042745502
ENSMUSG00000001056	3.03290570460362			1.15058175677969	1.85639870674342	0.891537322874728	3.6757401756678	1.73143875619949	4.88471365556248	7.58350333983712
ENSMUSG00000001062	0.181226605760863	0.237507209386304	0.086095652967985		0.126797736289127	0.15450153549505	0.160266400880512	0.137299164959907	0.187327930917862	0.281541263536762
ENSMUSG00000001065	0.153974125485788	0.0931828048915884	0.0728995063325822	0.0880432253708736		0.0868018298409523	0.0823347338631156	0.024295165580388	0.140490105597556	0.166131097351604
ENSMUSG00000001076						0.0440797374945895	0.100249070062884	0.0458389982442493		0.0667882483534237
ENSMUSG00000001082	0.361888940003917	0.320703396593259	0.248290627277389	0.329129058420246	0.327519393319491	0.22558446566509	0.236534563209138	0.285589573670553	0.553933494072319	0.574792888545867
