gene	F_2i_XaXa_C57	F_2i_XaXa_CAST	F_Diff_XaXa_C57	F_Diff_XaXa_CAST	F_Diff_XaXi_C57	F_Diff_XaXi_CAST	F_Diff_XiXa_C57	F_Diff_XiXa_CAST	M_2i_XaXi_C57	M_2i_XaXi_CAST
ENSMUSG00000000001	53.9594584560085	63.8721309079093	89.7971466565272	93.8498303623933	176.484790660723	77.9655081150531	99.8983054114116	86.6918280792932	61.4034987732807	51.688028522024
ENSMUSG00000000028	127.363571449748	120.890423271682	214.63469258168	124.314693055625	193.419682568783	176.349780618806	117.203354780735	126.916319135858	79.7409987539806	100.180477576414
ENSMUSG00000000037	5.08648303745269	59.1448111603467	1.41749374797777					21.5609840421262	25.3115425061867	
ENSMUSG00000000056	35.7283216789286	30.9850936755296	44.733571969766	24.9429248241679	17.9121562072899	36.654841250303	30.4381244807709	28.4380610638328	25.679767631942	31.2591200836865
ENSMUSG00000000058							75.5251259123119	38.0057219085792		
ENSMUSG00000000078	101.77490770028	245.451938869474	216.719823146934	109.169957609663	184.407873394868	243.653979329246	276.809963437081	187.15436470844	82.5371617669181	310.667370256055
ENSMUSG00000000085	28.7286134735396	24.7194685383051	77.8718116493416	53.9216018731576	21.0640850252832	22.461125116921	44.5956575489888	54.5537562165979	17.3619036602094	31.3920278549637
ENSMUSG00000000088	22.4555698955445	68.42464121005	97.1489935214383	89.1257917456041	61.5692497038388	110.752335962481	69.5712317829729	108.027117945874	80.732398146238	
ENSMUSG00000000094			18.0650664957386	100.278781466789		13.0588561371209	12.2969246844671	49.7951570044392		
ENSMUSG00000000120	39.7642246033945	33.6441777301624	38.3756342900806	34.6037713101914	61.7794519106161	84.7218162254166	39.0680488332281	84.6326038104903	43.0018568253511	30.9095637296675
ENSMUSG00000000126					252.753139750719		72.5721746734363	46.1218634757401		
ENSMUSG00000000127	31.0402363517275	41.8780834090119		196.515631664321	117.210435815142	31.4472522457341	50.5477087872756	49.4807010699684	35.7234046797859	17.97103903008
ENSMUSG00000000131	11.5117237757442	24.807758847002	15.069172675207	13.8234455483457	31.2340524477153	12.8480216399321	10.358273499387	15.8068230224174	10.2988132520628	7.64613434366403
ENSMUSG00000000134	15.688516280785	22.3699704767294	8.04109830179501	16.6882571693288	7.75967575928521		14.5870745127789	19.1399809031939	13.5392602799545	
ENSMUSG00000000142	64.5681873487038	1.00004092763381	132.841174519684	83.1776912147224	80.9138471095415	214.945488334368	49.0015974300319	123.538728738685	52.6896870547576	81.4647117187478
ENSMUSG00000000148	19.677486012389	34.5105237885559		20.3348645270812		39.4826216216394	27.5451643379902	20.9157661561082	27.1711195672688	22.3609831262288
ENSMUSG00000000149	70.4472511205716	36.7874084683398		96.740735025519	96.1223277006397	247.73083696346	110.263127000759	158.366631494085	58.1737866542903	55.171826430762
ENSMUSG00000000154	1265.77297414733	99.0379590160963			132.376605110296		1140.15433581515	249.427748774405	70.5553288941361	250.511440919417
ENSMUSG00000000167	66.0703998277505	37.9462004565178					16.5510097790649	48.0169007848362	73.4085607408744	20.365010301266
ENSMUSG00000000168	36.2783287323593	21.8878933153875	27.2628328544228	37.5043228016898	50.6965578192764	28.5303313797604	39.7934725373589	39.8413098963083	30.4342995288172	28.3257043789259
ENSMUSG00000000171	121.402583162789	47.8359889791382		200.647001297665	294.20484177846	138.505974323798	221.991076255574	209.216711160903	136.795994162281	102.150386438164
