gene	F_2i_XaXa_C57	F_2i_XaXa_CAST	F_Diff_XaXa_C57	F_Diff_XaXa_CAST	F_Diff_XaXi_C57	F_Diff_XaXi_CAST	F_Diff_XiXa_C57	F_Diff_XiXa_CAST	M_2i_XaXi_C57	M_2i_XaXi_CAST
ENSMUSG00000000001	0.235937507333677	0.0988306280286888	0.0321182188410281		0.0222195071542137	0.0399215884225223	0.0889329142782461	0.0610827818968031	0.462144533329871	0.541260895357544
ENSMUSG00000000028	0.0163861718057078	0.0225716303844538								
ENSMUSG00000000056	0.0337404127767274								0.106397165196094	
ENSMUSG00000000078									0.0137338119784726	0.0146167530953382
ENSMUSG00000000085	0.022461604058265								0.0642563100671798	
ENSMUSG00000000088	0.0110759804132848	0.144622916016167		0.06109600307623	0.0420696980711838	0.0292347148569664	0.0514964566049837	0.0427599990179289	0.300704926689742	0.780732051178034
ENSMUSG00000000093	82.4538591449555									
ENSMUSG00000000094								10.0000028421709		
ENSMUSG00000000120	0.0223992849653274	0.0105799304061917							0.0716937653942425	0.0716045496826231
ENSMUSG00000000127		0.156963734861435							0.145122807530145	0.0378276745590772
ENSMUSG00000000131	0.0431940577127858	0.0200949968625433			0.0519513079871504				0.0712407811801881	0.0151656096474007
ENSMUSG00000000134	0.00853915653545323	0.0351956562517537		0.0381124950753836				0.0266452431493251	0.704879939008213	
ENSMUSG00000000142	0.136279691448288	0.0450987533856586					0.0206264854294949	0.0315396227543	0.222990205464048	0.152952904241465
ENSMUSG00000000149	0.0433524088965775									
ENSMUSG00000000154									0.417675614964262	
ENSMUSG00000000167	0.290883695838892							0.814423939657001		
ENSMUSG00000000168	0.0719171163635355	0.102183730046605					0.0293823784839057		0.428016482008948	
ENSMUSG00000000171	0.172339049900869	0.00838832907733							0.0958576123214623	0.0186142706899768
ENSMUSG00000000184									0.354381351929867	0.00241719870674624
ENSMUSG00000000194	0.16161883734097	0.192174891280412		0.0145048719669365		0.0106499197574081	0.0387806404775108		1.20992564088761	0.480577820856763
ENSMUSG00000000253										0.0466139296338176
ENSMUSG00000000275		0.40853458223468							1.1980268302138	0.803278099472081
ENSMUSG00000000282	0.0171761732734184	0.0187189673787003				0.026630615272008				0.261151431641061
ENSMUSG00000000290		0.6005430274281								
ENSMUSG00000000295		0.10315857588759		0.0699388270728824	0.0540434747302782	0.0914241152714807	0.140354940377777	0.0757885168094984	0.980442331644221	0.576796266645372
