gene	F_2i_XaXa_C57	F_2i_XaXa_CAST	F_Diff_XaXa_C57	F_Diff_XaXa_CAST	F_Diff_XaXi_C57	F_Diff_XaXi_CAST	F_Diff_XiXa_C57	F_Diff_XiXa_CAST	M_2i_XaXi_C57	M_2i_XaXi_CAST
ENSMUSG00000000001	6.78546523415475	50.9024805350443	30.6392052536144		302.881712878208	115.860240973486	111.819429632882	51.7324521918529	2.23669508589433	3.3301015819093
ENSMUSG00000000028	7.05751291338451	21.4627178847991								
ENSMUSG00000000056	11.3111569253498								2.79986417199411	
ENSMUSG00000000078									21.8015334736694	2.40331551189664
ENSMUSG00000000085	4.64355636740711								2.18815534371581	
ENSMUSG00000000088	504.059246971676	25.8861763139413		99.2979937367676	131.830677478036	142.624691050356	91.6578132391577	113.217603661168	18.381953577186	3.55631014522377
ENSMUSG00000000093	1.88980632444907									
ENSMUSG00000000094								1.00000216715642		
ENSMUSG00000000120	8.37601053038152	52.8956373170701							7.89487727779497	7.3244487937432
ENSMUSG00000000127		1.64369066732176							2.05407201717937	9.10740968657427
ENSMUSG00000000131	16.4285003065305	8.51376796753003			20.686604459493				3.64240579595291	2.40285138189527
ENSMUSG00000000134	189.769954078055	37.0461509400966		129.4151891877				213.475640780112	1.61849985509877	
ENSMUSG00000000142	5.90264617021215	29.0118171740822					18.3492254166902	119.218336601732	2.86441688130319	4.2866513647763
ENSMUSG00000000149	7.92950264026475									
ENSMUSG00000000154									3.8504969933983	
ENSMUSG00000000167	25.7259720101338							63.940170088261		
ENSMUSG00000000168	15.1293142675242	15.3039609246153					65.8890216185006		1.96801020447349	
ENSMUSG00000000171	6.67787847937716	142.538287481556							14.273747911546	56.1514188119541
ENSMUSG00000000184									2.8699858207022	224.041783698357
ENSMUSG00000000194	21.6327616211388	5.80931795419799		274.148292038041		175.034397898635	69.6346612058935		1.28525079883369	2.95420540945347
ENSMUSG00000000253										14.4031196837838
ENSMUSG00000000275		6.10599235098735							2.03094527776759	1.60365721570185
ENSMUSG00000000282	25.9138889336323	17.2809590653376				28.7650419426443				2.9692777377177
ENSMUSG00000000290		12.3219947328485								
ENSMUSG00000000295		17.8723009437488		147.484815152736	17.1642209337404	57.472151022179	57.8962784322851	77.3197953532225	2.14073212210686	2.29846424341651
ENSMUSG00000000296	3.201719998822		180.170357680295				229.051656317956	93.6889232265858	1.19856576105253	1.22908276071141
ENSMUSG00000000301	2.92846649622992			93.2940360554892	85.6644399212122		113.896145301758			146.952418491726
ENSMUSG00000000303	127.722764846758	358.908769867789		170.18955234607		689.80173786	258.55033341417	121.590701097772	2.63706306370326	2.0737741379286
ENSMUSG00000000305	19.4104633393308	19.128891548498							2.45849658735514	
ENSMUSG00000000308	11.5188091694072								1.70575687871525	2.10097890904682
ENSMUSG00000000320										2.26652184039468
ENSMUSG00000000325	8.16111656352586	13.798247057886							4.37227571289161	4.93978963274107
ENSMUSG00000000326	26.1402905033917	3.55737999247557							1.91069224745439	4.25087667921321
ENSMUSG00000000339	6.76022442073621	314.3405413426					61.8457192983096	156.950969534209	2.18318351624714	1.76823777856748
ENSMUSG00000000340	8.30657154658697	17.2173611345547	32.3418631111415	178.315310222005			90.6170246378709	372.683960213334	5.59556885398329	1.89721451076871
ENSMUSG00000000346		2.43164481081087								
ENSMUSG00000000365									27.6308083050999	4.1517667178138
ENSMUSG00000000374									10.7971613468125	1.18905975262197
ENSMUSG00000000378	6.5432538571073	18.0111235485889				14.0309477945857	152.846215564675	124.177236112014	1.71409964550438	
ENSMUSG00000000384	17.8157519487622						300.473217333234		3.18358541487995	2.11116131816769
ENSMUSG00000000385	1.88980632444907									
ENSMUSG00000000402		11.7061929485216							1.775374504156	
ENSMUSG00000000409									11.7790608330861	
ENSMUSG00000000416	8.65639215842522									
ENSMUSG00000000420	12.8901840389394			230.810709458462		82.6317515913593	287.49182597109	77.4291955106201	34.2405696960544	
ENSMUSG00000000439	3.79424361307574	5.66490312521451						69.5609947741334		2.19724792077126
ENSMUSG00000000441	2.00988189164141								3.4758305018895	2.23809246177343
ENSMUSG00000000486	10.2268964188396	4.7797243983087			344.843940579748				3.66200094100734	49.7134716427277
ENSMUSG00000000489							255.159440857866			
ENSMUSG00000000532									22.5167367058839	
ENSMUSG00000000538										2.21234708749525
ENSMUSG00000000544	11.8339241769692	210.613342480744							3.4362683011761	5.9091226301903
ENSMUSG00000000552		103.041474880556					130.732112340932		1.42862321548108	
ENSMUSG00000000555							3.36685522572571		150.997671030044	
ENSMUSG00000000561	31.6339391799855	27.3943984605233			168.129800356303		28.2968425103007			7.96254585195967
ENSMUSG00000000563	7.49464022492022	13.4654129151854		158.368611582655	492.733429186515		82.701838096111	111.394789859301	138.675599546074	5.22852806843539
ENSMUSG00000000568		29.3054803499269							4.6324091602932	25.5302015874047
ENSMUSG00000000579	85.8307516240407								3.72655169971513	3.83306517927978
ENSMUSG00000000581	19.2514730661974			276.803423483446			108.99679155705	97.6982087527631	1.60843167063888	1.13741065862446
ENSMUSG00000000594	5.3062366094991						816.534022727193		3.43573194391564	4.79369972034814
ENSMUSG00000000600		5.67997554541749					122.534019880093		2.61001034274751	269.833860596596
ENSMUSG00000000605										6.92128347132414
ENSMUSG00000000627										5.26661210419363
ENSMUSG00000000628	98.7976659493913	9.86832199305858			274.227676272003	225.462266188268	299.684006006813	117.334221013214	2.29841128823695	7.69629991580906
ENSMUSG00000000631	5.40428710419993	20.753046443464						197.181668847562	2.07928300788712	1.77526922323568
ENSMUSG00000000686										1.88980632444907
ENSMUSG00000000708	10.1340371006782	4.07535764356837							2.3666859241061	5.74884251212859
ENSMUSG00000000711							10.908860804943			
ENSMUSG00000000730			162.48697572155	60.1832304658954	249.876467157484	73.3808600977333	146.651099525838	202.329427087544	2.59948005261016	
ENSMUSG00000000732							496.393275602748	252.896492910607		
ENSMUSG00000000738			63.927133657185		10.5206762581081		78.40401254804		1.69863675488158	4.1580699201178
ENSMUSG00000000739									1.32925065317655	2.71078229929889
ENSMUSG00000000740	22.7914277145871	17.3676082571358					120.426147103856		42.1354373800337	21.0531998360064
ENSMUSG00000000743	14.7082118837238								6.00905127431389	
ENSMUSG00000000751	15.3972258465745	8.86141885620484					107.631576476488	239.892486842295	2.43993070754229	4.97944259458245
ENSMUSG00000000753										1.88980632444907
ENSMUSG00000000759		8.05202573243353					101.885066415532	85.2823168595666	14.5840328276711	1.62835354362725
ENSMUSG00000000776	27.7115823921733							175.162900134478	1.7241460190131	1.47876768976684
ENSMUSG00000000782	9.76112704370244						294.670742828017			
ENSMUSG00000000787	8.0441430584806		222.49466335987	74.7013580297566				136.951765831126	23.6348287300568	
ENSMUSG00000000794										120.001101136399
ENSMUSG00000000804									12.0907373031761	2.35691869472751
ENSMUSG00000000823								18.3293797351642		2.59922604765078
ENSMUSG00000000826	16.2299431837462	5.82819090647437			690.758029373843	195.099045803729	135.638463225108	125.911082618155	2.96932226370069	2.17915471095978
ENSMUSG00000000827	10.014659587172				11.0620847039455			84.7356128370781	2.067291738017	2.67577958001509
ENSMUSG00000000838	56.8726959042335	21.0702988426866						292.623712532769	9.10479350665197	
ENSMUSG00000000876	10.7407722105336	7.84315622320136	63.927133657185							1.53094229624111
ENSMUSG00000000881								19.9798881681003	16.9524845037576	
ENSMUSG00000000884	9.79550522440405	124.523206664275							1.58134218158383	1.9122091362862
ENSMUSG00000000901	41.9561117903758	2.22297395438235								76.5056886718102
ENSMUSG00000000902	20.3393273960236	64.2950815382496	197.154712114896			141.873756138465	100.986011968061	168.830449387337	21.5051261418694	3.9017713251605
ENSMUSG00000000915	53.425325217162	11.0508121674946					176.024643239508		1.83322191754178	15.5134002667109
ENSMUSG00000000916	11.7175146218941	8.80761496945691	162.69586967619	234.568966375515			169.766483041988	201.141392617988	1.61432555161324	1.34231101262651
ENSMUSG00000000948				51.2511740642095						
ENSMUSG00000000957							202.341605748069			
ENSMUSG00000000958	472.427222383476		137.943251745765			99.3588969591334	184.382108018316	134.495318076932		
ENSMUSG00000000959	12.639596695457	22.2528901399224					196.704554502802	103.279796683445	1.59032563315128	2.39844919924471
ENSMUSG00000000976	22.057651322985	703.709979185457					25.4400827164291		2.70184743510551	1.94829047183303
ENSMUSG00000001016	11.7229158863998	71.0581595888524					269.877281262879		2.16988218360279	1.95196474281896
ENSMUSG00000001017	4.35907272964585	6.35415191069643					13.0986478245113	80.8268914390174	2.90365836401832	
ENSMUSG00000001018	45.8534671654906	6.76425127544315					799.774303526719		13.6833566277261	
ENSMUSG00000001025	47.6539960196503		106.208324403148	159.630394108286	72.0270921134426	170.855340604976	125.286392131017	94.4224018553015	3.88643383481974	4.97364729156625
ENSMUSG00000001034	22.4549443903139	38.5103794200012				24.0578948127282	163.092358587086		4.39916887029288	2.84713501583341
ENSMUSG00000001036	287.822481517636	9.82283869345562							3.67232710192798	
ENSMUSG00000001039	6.97626439498691	10.4969259462735							1.69463533141406	2.88482490775555
ENSMUSG00000001052	10.8233416939206	3.23324027540247							1.01113445708793	
ENSMUSG00000001053		20.7414350308006							8.86621850685328	1.39740659822066
ENSMUSG00000001054	40.6441246838455	40.3462823750628						272.514836662511	3.39612848345092	5.31810608039743
ENSMUSG00000001056	22.2027820046871	13.9961471545292		129.883773921314	168.534986951623	125.585360972955	101.314719288311	58.8047578137769	6.87250763983928	8.23042944544982
ENSMUSG00000001062										2.5080379909404
ENSMUSG00000001065	15.6934801126142									
ENSMUSG00000001082	6.20993956532314				106.239319468121	170.872181355643	124.643171321236	55.6250518024308	3.01744195531638	
ENSMUSG00000001089	30.2431410355218							242.440113957545		6.54248484621311
ENSMUSG00000001095		1.88980632444907								
ENSMUSG00000001098	25.1737035218592	2.94736304326354							3.30977904780149	13.2966189473299
ENSMUSG00000001100	44.0125100017537	44.4975561008081					122.905331346461		2.2658206196361	9.96176418259013
ENSMUSG00000001105	14.0672025915247	7.67772353114521							1.38318422326765	4.09739327821374
ENSMUSG00000001127	4.30032452299622	5.43388296097037							6.29467908683951	
ENSMUSG00000001128	12.057898469564	128.939653182223						270.135845236601	1.30699026795341	
ENSMUSG00000001131	5.10514418203518	41.5198351645343						75.1670887861483	4.28629073662321	
ENSMUSG00000001134	10.5364832985848	4.82657296948445							2.15602895414048	
ENSMUSG00000001138	9.5923489342987						672.444678986134			
ENSMUSG00000001143	6.94453613614876	4.28378574411723								
ENSMUSG00000001150	8.66060524167551	29.4396806092013			1310.65221506091		255.324354222779		3.19547205406229	270.470724989033
ENSMUSG00000001151	724.766440182448	22.8992016901514							2.11237220893716	1.49325746742701
ENSMUSG00000001157									1.93364240833676	1.63364629358297
ENSMUSG00000001166	307.590801958481									
ENSMUSG00000001173	5.63885871196828	4.14093643806573						92.5517397169894	7.23723287961376	
ENSMUSG00000001175	8.91552998771253	22.5460431132155	87.1410721901892	81.7673674984301	81.8681637982016	122.757295116122	112.659973358453	101.442221848319	10.7455646668385	35.858009892144
ENSMUSG00000001228	6.26504181187747	11.6280053589409							5.35835914001523	1.71637651902647
ENSMUSG00000001229	2.35691869472751	12.2555329377295						4.55939800467071		4.26293441804051
ENSMUSG00000001247					241.580111211993	18.3513486807444	57.432159824922	53.3065305362078		
ENSMUSG00000001248	38.8761003918811							354.462991645819	1.43324390706872	5.54063456097748
ENSMUSG00000001270	13.3980917304041	216.498219815918							3.06860462485612	3.68569287636447
ENSMUSG00000001280	8.77842240513095	24.0153397709546					117.594335401272			
ENSMUSG00000001289	10.8309655896195	5.43191523623544				12.3681944309674			11.5302511712961	8.67620010782238
ENSMUSG00000001300			113.547317024242				86.8038766459001			
ENSMUSG00000001305	6.0625024555415	16.6516577038396	196.392855491849		19.90316882428	378.752897238668	68.1713548035224	104.775540251657	29.6719287163928	10.6432746278081
ENSMUSG00000001313	2.56363945194479	88.8915976121649								2.25588326126235
ENSMUSG00000001323	2.51609105027677									
ENSMUSG00000001348	5.24408144195413	87.9610464826618			15.3893195930885		208.826967745092			2.50335801244917
ENSMUSG00000001349						57.0043718196682	20.8649162351979	80.2869787914842		
ENSMUSG00000001376	3.01177922774908	4.61378392876769								1.2420101524669
ENSMUSG00000001380	12.7089939169198				177.586089777048		324.033993607426	148.023874369123	4.81113478899214	1.7390711042266
ENSMUSG00000001403	20.6430991587652	25.0807401175524	122.286766134912	86.5705312249371	89.7168012320469	49.3893792740095	115.53712565473	87.5552775064659	9.77797122144613	11.6298018931911
