LibraryName	Embryo	Lineage	Sex	GeneticBackground
earlyblast_1.1_701.503	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.10_702.504	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.11_703.504	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.12_704.504	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.13_705.504	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.14_706.504	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.15_707.504	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.16_708.504	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.2_702.503	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.3_703.503	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.4_704.503	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.5_705.503	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.6_706.503	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.7_707.503	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.8_708.503	1	earlyblast	F	CAST (F) x C57 (M)
earlyblast_1.9_701.504	1	earlyblast	F	CAST (F) x C57 (M)
lateblast_1.1_701_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.12_704_502	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.13_705_502	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.14_706_502	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.15_707_502	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.16_708_502	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.17_701_503	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.2_702_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.3_703_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.4_702_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.4_704_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.5_705_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.6_703_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.6_706_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.7_704_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.7_707_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.8_706_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1.8_708_501	1	lateblast	M	C57 (F) x CAST (M)
lateblast_1_11	1_	lateblast	F	C57 (F) x CAST (M)
lateblast_1_13	1_	lateblast	F	C57 (F) x CAST (M)
lateblast_1_14	1_	lateblast	F	C57 (F) x CAST (M)
lateblast_1_15	1_	lateblast	F	C57 (F) x CAST (M)
lateblast_1_17	1_	lateblast	F	C57 (F) x CAST (M)
lateblast_1_18	1_	lateblast	F	C57 (F) x CAST (M)
lateblast_1_2	1_	lateblast	F	C57 (F) x CAST (M)
lateblast_10_1	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_10	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_11	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_2	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_3	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_4	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_5	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_6	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_7	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_8	10	lateblast	F	C57 (F) x CAST (M)
lateblast_10_9	10	lateblast	F	C57 (F) x CAST (M)
lateblast_2_7	2_	lateblast	F	C57 (F) x CAST (M)
lateblast_2_8	2_	lateblast	F	C57 (F) x CAST (M)
lateblast_3.1_702_503	3	lateblast	M	C57 (F) x CAST (M)
lateblast_3.10_703_504	3	lateblast	M	C57 (F) x CAST (M)
lateblast_3.11_704_504	3	lateblast	M	C57 (F) x CAST (M)
lateblast_3.12_705_504	3	lateblast	M	C57 (F) x CAST (M)
