sample_id	exclude
MESC_CL1_B2_PA	FALSE
MESC_CL5_E7_PD	FALSE
MESC_CL5_A6_PC	FALSE
MESC_CL1_D8_PB	FALSE
MESC_CL1_D8_PA	FALSE
MESC_CL1_C11_PA	TRUE
MESC_CL1_D9_PB	FALSE
MESC_CL1_C6_PB	TRUE
MESC_CL1_E6_PA	FALSE
MESC_CL5_E8_PC	FALSE
MESC_CL1_E1_PA	FALSE
MESC_CL1_C2_PB	FALSE
MESC_CL1_E8_PB	FALSE
MESC_CL1_C7_PB	FALSE
MESC_CL5_A2_PC	FALSE
MESC_CL1_A3_PA	FALSE
MESC_CL1_G10_PB	FALSE
MESC_CL1_F11_PB	FALSE
MESC_CL5_B7_PD	FALSE
MESC_CL5_E12_PD	FALSE
MESC_CL5_E10_PC	FALSE
MESC_CL5_H6_PD	FALSE
MESC_CL1_G9_PA	FALSE
MESC_CL5_C10_PD	FALSE
MESC_CL5_E5_PD	FALSE
MESC_CL5_F1_PC	FALSE
MESC_CL5_H2_PD	FALSE
MESC_CL1_D1_PA	FALSE
MESC_CL5_D3_PC	FALSE
MESC_CL5_F4_PC	TRUE
MESC_CL1_F8_PB	FALSE
MESC_CL1_H11_PB	FALSE
MESC_CL1_H1_PB	TRUE
MESC_CL1_C1_PB	FALSE
MESC_CL1_G5_PB	FALSE
MESC_CL5_G3_PD	FALSE
MESC_CL1_G8_PB	FALSE
MESC_CL1_D5_PA	FALSE
MESC_CL1_H12_PA	FALSE
MESC_CL5_G7_PD	FALSE
MESC_CL5_H12_PC	FALSE
MESC_CL5_H6_PC	FALSE
MESC_CL5_F11_PD	FALSE
MESC_CL5_G10_PC	FALSE
MESC_CL5_G1_PC	FALSE
MESC_CL1_B7_PA	FALSE
MESC_CL1_A10_PA	TRUE
MESC_CL5_F5_PD	FALSE
MESC_CL1_B10_PA	TRUE
MESC_CL1_E1_PB	FALSE
MESC_CL1_E9_PB	FALSE
MESC_CL1_B4_PB	FALSE
MESC_CL5_F7_PC	FALSE
MESC_CL1_A6_PA	TRUE
MESC_CL1_H2_PA	FALSE
MESC_CL1_D3_PB	FALSE
MESC_CL1_B3_PA	FALSE
MESC_CL5_G8_PC	FALSE
MESC_CL1_E8_PA	FALSE
MESC_CL5_C11_PC	FALSE
MESC_CL5_B12_PD	TRUE
MESC_CL5_E5_PC	FALSE
MESC_CL5_F10_PD	FALSE
MESC_CL1_B6_PB	FALSE
MESC_CL5_G2_PC	FALSE
MESC_CL5_H1_PC	FALSE
MESC_CL1_C9_PB	FALSE
MESC_CL5_F9_PC	FALSE
MESC_CL5_D12_PC	FALSE
MESC_CL1_A2_PA	FALSE
MESC_CL5_F10_PC	FALSE
MESC_CL5_G4_PC	FALSE
MESC_CL1_F4_PB	FALSE
MESC_CL1_F10_PB	FALSE
MESC_CL5_E6_PD	FALSE
MESC_CL5_F2_PD	FALSE
MESC_CL5_D8_PC	FALSE
MESC_CL1_D1_PB	TRUE
MESC_CL5_D12_PD	FALSE
MESC_CL1_E11_PB	FALSE
MESC_CL5_A5_PC	FALSE
MESC_CL5_H1_PD	FALSE
MESC_CL1_B5_PA	FALSE
MESC_CL1_H6_PA	FALSE
MESC_CL5_E2_PD	FALSE
MESC_CL1_D3_PA	FALSE
MESC_CL1_B4_PA	FALSE
MESC_CL1_F12_PB	FALSE
MESC_CL5_B4_PC	FALSE
MESC_CL5_A8_PC	FALSE
MESC_CL5_C9_PC	FALSE
MESC_CL5_H10_PD	FALSE
MESC_CL5_B3_PD	FALSE
MESC_CL1_D9_PA	FALSE
MESC_CL5_C4_PD	FALSE
MESC_CL1_F4_PA	FALSE
MESC_CL1_A11_PB	TRUE
MESC_CL1_C8_PB	FALSE
MESC_CL5_A9_PC	FALSE
MESC_CL1_D2_PA	FALSE
MESC_CL5_G6_PD	FALSE
MESC_CL5_F4_PD	FALSE
MESC_CL5_A1_PD	FALSE
MESC_CL1_E4_PA	FALSE
MESC_CL5_D10_PC	FALSE
MESC_CL1_G7_PA	FALSE
MESC_CL1_A4_PA	TRUE
MESC_CL1_B12_PB	TRUE
MESC_CL5_H11_PD	FALSE
MESC_CL5_C10_PC	FALSE
MESC_CL5_G9_PD	FALSE
MESC_CL1_E5_PA	FALSE
MESC_CL1_B3_PB	FALSE
MESC_CL5_B8_PD	FALSE
MESC_CL5_D9_PD	FALSE
MESC_CL5_E3_PC	FALSE
MESC_CL5_G12_PC	FALSE
MESC_CL1_G3_PB	FALSE
MESC_CL1_D6_PA	FALSE
MESC_CL5_A11_PD	FALSE
MESC_CL1_D10_PA	FALSE
MESC_CL1_E11_PA	FALSE
MESC_CL1_H10_PB	FALSE
MESC_CL1_F5_PB	FALSE
MESC_CL1_H5_PA	FALSE
MESC_CL5_A4_PC	FALSE
MESC_CL1_G4_PA	FALSE
MESC_CL5_D2_PD	FALSE
MESC_CL5_C5_PD	FALSE
MESC_CL1_E12_PB	FALSE
MESC_CL1_B8_PA	TRUE
MESC_CL5_H4_PD	FALSE
MESC_CL5_G8_PD	FALSE
MESC_CL5_B10_PD	FALSE
MESC_CL1_A12_PB	TRUE
MESC_CL5_A11_PC	FALSE
MESC_CL1_A8_PA	TRUE
MESC_CL1_H1_PA	FALSE
MESC_CL1_H10_PA	FALSE
MESC_CL5_B1_PC	FALSE
MESC_CL5_C9_PD	FALSE
MESC_CL1_B10_PB	TRUE
MESC_CL5_E4_PC	FALSE
MESC_CL5_D2_PC	FALSE
MESC_CL5_D6_PC	FALSE
MESC_CL5_B11_PD	FALSE
MESC_CL1_C4_PA	FALSE
MESC_CL5_H7_PD	FALSE
MESC_CL5_C5_PC	FALSE
MESC_CL5_E11_PC	FALSE
MESC_CL1_E12_PA	FALSE
MESC_CL5_B7_PC	FALSE
MESC_CL1_A9_PB	TRUE
MESC_CL5_G5_PD	FALSE
MESC_CL5_D4_PD	TRUE
MESC_CL5_G10_PD	FALSE
MESC_CL1_E7_PA	FALSE
MESC_CL1_F9_PA	FALSE
MESC_CL5_G12_PD	FALSE
MESC_CL1_H7_PA	FALSE
MESC_CL5_H5_PD	FALSE
MESC_CL1_C1_PA	FALSE
MESC_CL1_E10_PA	FALSE
MESC_CL1_H11_PA	TRUE
MESC_CL1_A1_PB	TRUE
MESC_CL5_B6_PC	FALSE
MESC_CL5_A5_PD	FALSE
MESC_CL5_A8_PD	FALSE
MESC_CL1_H4_PA	FALSE
MESC_CL5_E11_PD	FALSE
MESC_CL5_D1_PC	FALSE
MESC_CL1_E9_PA	FALSE
MESC_CL5_H7_PC	FALSE
MESC_CL5_E4_PD	TRUE
MESC_CL5_A10_PD	FALSE
MESC_CL1_B5_PB	FALSE
MESC_CL1_B8_PB	TRUE
MESC_CL1_G11_PA	FALSE
MESC_CL1_H12_PB	FALSE
MESC_CL1_A8_PB	TRUE
MESC_CL1_B11_PB	TRUE
MESC_CL5_C6_PC	FALSE
MESC_CL1_F7_PA	FALSE
MESC_CL1_H2_PB	FALSE
MESC_CL5_E12_PC	FALSE
MESC_CL5_B1_PD	FALSE
MESC_CL5_A3_PC	FALSE
MESC_CL5_C12_PD	FALSE
MESC_CL5_C8_PD	FALSE
MESC_CL5_F8_PD	FALSE
MESC_CL5_C7_PC	FALSE
MESC_CL1_E2_PB	FALSE
MESC_CL5_F12_PD	FALSE
MESC_CL1_A5_PA	TRUE
MESC_CL5_B11_PC	FALSE
MESC_CL1_E2_PA	FALSE
MESC_CL5_A10_PC	FALSE
MESC_CL1_C2_PA	TRUE
MESC_CL5_F11_PC	FALSE
MESC_CL1_G6_PB	FALSE
MESC_CL1_D7_PA	FALSE
MESC_CL1_B6_PA	FALSE
MESC_CL5_D11_PD	FALSE
MESC_CL5_H3_PC	FALSE
MESC_CL5_E3_PD	FALSE
MESC_CL5_A6_PD	FALSE
MESC_CL1_F3_PA	FALSE
MESC_CL1_H9_PA	FALSE
MESC_CL1_B11_PA	TRUE
MESC_CL1_D4_PB	FALSE
MESC_CL5_F6_PC	FALSE
MESC_CL1_A5_PB	TRUE
MESC_CL1_F6_PB	FALSE
MESC_CL1_G8_PA	FALSE
MESC_CL1_D11_PB	TRUE
MESC_CL1_H8_PB	FALSE
MESC_CL1_C3_PB	FALSE
MESC_CL1_F2_PA	FALSE
MESC_CL1_F11_PA	FALSE
MESC_CL5_D6_PD	FALSE
MESC_CL1_B1_PA	FALSE
MESC_CL5_C3_PD	TRUE
MESC_CL1_C11_PB	TRUE
MESC_CL5_E7_PC	FALSE
MESC_CL1_G2_PA	FALSE
MESC_CL1_C5_PB	FALSE
MESC_CL1_H7_PB	FALSE
MESC_CL1_B9_PB	TRUE
MESC_CL5_F2_PC	FALSE
MESC_CL5_F8_PC	FALSE
MESC_CL5_E8_PD	FALSE
MESC_CL5_C3_PC	FALSE
MESC_CL1_G7_PB	FALSE
MESC_CL5_H11_PC	FALSE
MESC_CL1_E4_PB	FALSE
MESC_CL5_G6_PC	FALSE
MESC_CL1_F12_PA	FALSE
MESC_CL1_B9_PA	FALSE
MESC_CL5_D4_PC	FALSE
MESC_CL5_D5_PC	FALSE
MESC_CL5_C12_PC	TRUE
MESC_CL5_D7_PD	FALSE
MESC_CL1_E5_PB	FALSE
MESC_CL1_E7_PB	FALSE
MESC_CL5_D3_PD	FALSE
MESC_CL5_H12_PD	FALSE
MESC_CL5_C1_PC	FALSE
MESC_CL5_C1_PD	FALSE
MESC_CL1_C12_PA	FALSE
MESC_CL1_F1_PB	FALSE
MESC_CL5_G11_PC	FALSE
MESC_CL5_A2_PD	FALSE
MESC_CL5_A1_PC	FALSE
MESC_CL5_H5_PC	FALSE
MESC_CL5_C4_PC	FALSE
MESC_CL1_B12_PA	TRUE
MESC_CL1_E3_PB	FALSE
MESC_CL5_E1_PC	FALSE
MESC_CL5_H8_PC	FALSE
MESC_CL5_H8_PD	FALSE
MESC_CL5_F3_PD	FALSE
MESC_CL5_E9_PD	FALSE
MESC_CL5_B2_PC	FALSE
MESC_CL5_D7_PC	FALSE
MESC_CL1_A7_PB	FALSE
MESC_CL5_E6_PC	FALSE
MESC_CL1_G4_PB	FALSE
MESC_CL1_G2_PB	FALSE
MESC_CL5_B8_PC	FALSE
MESC_CL5_A12_PC	FALSE
MESC_CL1_A12_PA	TRUE
MESC_CL1_C5_PA	FALSE
MESC_CL1_A7_PA	FALSE
MESC_CL1_A9_PA	TRUE
MESC_CL1_D5_PB	FALSE
MESC_CL5_H3_PD	FALSE
MESC_CL1_D12_PA	FALSE
MESC_CL5_A12_PD	FALSE
MESC_CL1_G1_PB	FALSE
MESC_CL1_F3_PB	FALSE
MESC_CL5_B10_PC	FALSE
MESC_CL1_F2_PB	FALSE
MESC_CL5_G9_PC	FALSE
MESC_CL5_G3_PC	FALSE
MESC_CL1_G10_PA	TRUE
MESC_CL5_H2_PC	FALSE
MESC_CL1_H8_PA	FALSE
MESC_CL5_F3_PC	FALSE
MESC_CL1_H5_PB	FALSE
MESC_CL5_B3_PC	FALSE
MESC_CL1_D4_PA	FALSE
MESC_CL1_G11_PB	FALSE
MESC_CL5_F6_PD	FALSE
MESC_CL5_C2_PD	FALSE
MESC_CL1_D12_PB	FALSE
MESC_CL1_H9_PB	FALSE
MESC_CL1_G12_PA	FALSE
MESC_CL1_F9_PB	FALSE
MESC_CL1_G5_PA	FALSE
MESC_CL5_C2_PC	FALSE
MESC_CL5_A4_PD	FALSE
MESC_CL5_D11_PC	FALSE
MESC_CL5_E1_PD	FALSE
MESC_CL1_B1_PB	FALSE
MESC_CL1_B2_PB	FALSE
MESC_CL1_F6_PA	FALSE
MESC_CL1_G6_PA	FALSE
MESC_CL5_E9_PC	FALSE
